title,full_text,category,source
Anthony Joshua injured in car crash in Nigeria that killed two people,"<ul><li><p>British former boxing champion sustained minor injuries</p></li><li><p>Two people killed in collision, say police in Ogun State</p></li></ul><p>British heavyweight boxer Anthony Joshua was injured in a car crash in Nigeria on Monday morning that killed two people, local police said.</p><p>The former world heavyweight boxing champion was taken to an undisclosed hospital after his car hit a stationary vehicle at around 11am on the Lagos-Ibadan Expressway, Ogun state police commissioner Lanre Ogunlowo said. The driver of Joshua’s vehicle was also injured, he added.</p> <a href=""https://www.theguardian.com/sport/2025/dec/29/anthony-joshua-injured-car-crash-nigeria"">Continue reading...</a>",fact,news
Central African Republic goes to polls as president seeks third term,"<p>Opposition hopes to tap into frustrations of people living in country where conflict remains a daily reality</p><p>Central African Republic goes to the polls on Sunday with the president, Faustin-Archange Touadéra, seeking a third term.</p><p>As many as 2.3 million registered voters will cast ballots for what observers are calling a quadruple election: votes for the presidency and parliament as well as local and municipal offices.</p> <a href=""https://www.theguardian.com/world/2025/dec/28/central-african-republic-goes-to-polls-as-president-seeks-third-term"">Continue reading...</a>",fact,news
Opposition anger as Guinea’s junta leader is frontrunner to be elected president,"<p>Mamady Doumbouya accused of betraying his promise to be the restorer of democracy after leading 2021 coup</p><p>In September 2021, a tall, young colonel in the Guinean army announced that he and his comrades had <a href=""https://www.theguardian.com/world/2021/sep/06/guinea-president-held-in-military-detention-say-army-coup-leaders"">forcibly seized power</a> and toppled the longtime leader Alpha Condé.</p><p>“The will of the strongest has always supplanted the law,” Mamady Doumbouya said in a speech, stressing that the soldiers were acting to restore the will of the people.</p> <a href=""https://www.theguardian.com/world/2025/dec/27/guinea-junta-leader-mamady-doumbouya-frontrunner-president-election"">Continue reading...</a>",fact,news
Israel becomes first country to recognise Somaliland as sovereign state,"<p>Diplomatic breakthrough criticised by African Union, which said it could have ‘far-reaching implications for peace and stability across the continent’</p><p>Israel has become the first country to recognise Somaliland as a sovereign state, a breakthrough in its quest for international recognition since it declared independence from Somalia 34 years ago.</p><p>The Israeli foreign minister, Gideon Sa’ar, announced on Friday that Israel and Somaliland had signed an agreement establishing full diplomatic relations, which would include the opening of embassies and the appointment of ambassadors.</p> <a href=""https://www.theguardian.com/world/2025/dec/26/israel-first-country-to-recognise-somaliland-sovereign-state"">Continue reading...</a>",fact,news
British-Egyptian activist Alaa Abd el-Fattah arrives in UK after travel ban lifted,"<p>Family say campaigner, who has a son in Brighton, will be able to travel freely between UK and Cairo months after his release from Egyptian jail</p><p>The British-Egyptian dissident Alaa Abd el-Fattah has arrived in London after the Egyptian government lifted a travel ban that it had imposed on him despite <a href=""https://www.theguardian.com/world/2025/oct/11/i-deserve-to-heal-freed-british-egyptian-activist-alaa-abd-el-fattah-on-his-prison-ordeal-and-next-steps"">releasing him from jail in September</a>.</p><p>Abd el-Fattah had been held in jail nearly continuously for 10 years, mainly due to expressing his opposition to the treatment of dissidents by the Egyptian government. He had been detained in jail two years beyond his five-year sentence as the Cairo authorities refused to recognise the period he held in pre-trial detention as part of his time served.</p> <a href=""https://www.theguardian.com/world/2025/dec/26/british-egyptian-activist-alaa-abd-el-fattah-arrives-in-uk-after-travel-ban-lifted"">Continue reading...</a>",fact,news
Brazilian ex-president Bolsonaro treated for persistent hiccups,"<p>Doctors say they blocked his right phrenic nerve in procedure that took place after jailed former president was hospitalised last week for hernia operation</p><p>Brazil’s former president Jair Bolsonaro underwent “a phrenic nerve block procedure” on Saturday to treat his persistent hiccups, his wife, Michelle Bolsonaro, said on social media.</p><p>The doctors treating Bolsonaro said later that they blocked the right phrenic nerve and scheduled a new procedure in 48 hours to block the left one.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/brazil-ex-president-jair-bolsonaro-hiccups-treatment"">Continue reading...</a>",fact,news
Venezuela says it released 99 people detained for 2024 election protests,"<p>Government said the move was due to its ‘unrestricted respect for human rights’ in the face of US aggression</p><p><a href=""https://www.theguardian.com/world/venezuela"">Venezuela</a> has said it has carried out its largest release of political prisoners this year, claiming to have freed 99 people detained for taking part in protests after the 2024 election, widely believed to have been stolen by the dictator <a href=""https://www.theguardian.com/world/nicolas-maduro"">Nicolás Maduro</a>, as it comes under increasing military pressure from the US.</p><p>Civil society organisations have treated the news with caution and stressed that the releases were insufficient, noting that at least 900 political prisoners remain in the country.</p> <a href=""https://www.theguardian.com/world/2025/dec/26/venezuela-political-prisoner-release"">Continue reading...</a>",fact,news
Weather tracker: Deep freeze grips Canada as US records warmest Christmas,"<p>Temperatures plunge below -50C in the Yukon, while swaths of US experience springlike weather</p><p>Northern Canada has been gripped by an intense and prolonged cold spell, with temperatures hovering between -20C and -40C for weeks. On Tuesday, Braeburn in the Yukon recorded -55.7C, its coldest December temperature since 1975.</p><p>Meanwhile, Mayo and Dawson endured 16 consecutive nights below -40C, with Mayo plunging to -50.4C on Monday. Whitehorse also recorded 10 nights when temperatures dropped below -30C.</p> <a href=""https://www.theguardian.com/world/2025/dec/26/weather-tracker-deep-freeze-canada-us-records-warmest-christmas"">Continue reading...</a>",fact,news
‘They’re scared of us now’: how co-investment in a tropical forest saw off loggers,"<p>Low-cost tech and joined-up funding have reduced illegal logging, mining and poaching in the Darién Gap – it’s a success story that could stop deforestation worldwide</p><p>There are no roads through the Darién Gap. This vast impenetrable forest spans the width of the land bridge between South and Central America, but there is almost no way through it: hundreds have lost their lives trying to cross it on foot.</p><p>Its size and hostility have shielded it from development for millennia, protecting hundreds of species – from harpy eagles and giant anteaters to jaguars and red-crested tamarins – in one of the most biodiverse places on Earth. But it has also made it incredibly difficult to protect. Looking after 575,000 hectares (1,420,856 acres) of beach, mangrove and rainforest with just 20 rangers often felt impossible, says Segundo Sugasti, the director of Darién national park. Like tropical forests all over the world, it has been steadily shrinking, with at least 15% lost to logging, mining and cattle ranching in two decades.</p> <a href=""https://www.theguardian.com/environment/2025/dec/25/they-are-scared-of-us-now-how-one-tropical-forest-turned-the-tide-on-loggers"">Continue reading...</a>",fact,news
"‘It’s the wildest place I have walked’: new national park will join up Chile’s 2,800km wildlife corridor","<p>Government poised to officially protect 200,000 hectares of remote Patagonian coastline and forest </p><p>Chile’s government is poised to create the country’s 47th national park, protecting nearly 200,000 hectares (500,000 acres) of pristine wilderness and completing a <a href=""https://www.theguardian.com/travel/2019/sep/26/patagonia-chile-routes-parks-national-tompkins"">wildlife corridor</a> stretching 1,700 miles (2,800km) to the southernmost tip of the Americas.</p><p>The Cape Froward national park is a wild expanse of wind-torn coastline and forested valleys that harbours unrivalled biodiversity and has played host to millennia of human history.</p> <a href=""https://www.theguardian.com/world/2025/dec/25/cape-froward-new-national-park-patagonia-chile"">Continue reading...</a>",fact,news
