sentence,label
"Afghanistan at crucial juncture.","other"
"On Thursday, the so-called London Conference on Afghanistan will convene","premise"
".","other"
"Of all the high-profile international conferences","other"
"that have been held on Afghanistan over the years","other"
"- in Bonn, Tokyo, and Istanbul - this comes at a crucial juncture","claim"
".","other"
"At the end of October, British forces lowered the flag at Camp Bastion - from","other"
"where","other"
"they had engaged in the most intense fighting","other"
"the British army had seen since the Falklands War","other"
"- and handed over the base to Afghan forces","premise"
".","other"
"Just over a month later, the Taliban mounted a 14-hour attack on the very same site","other"
",","other"
"killing six Afghan soldiers","premise"
".","other"
"To the north, in the capital Kabul, insurgents have pulled off a dozen attacks in the space of the last few weeks","other"
",","other"
"striking at diplomats, NGOs, and US contractors","premise"
".","other"
"What	modd-NU","other"
"explains this spate of violence, and is it a portent for the future of Afghanistan?	m-question","claim"
"The International Security Assistance Force (ISAF), a US-led group","claim"
"that includes NATO members and others","claim"
",","claim"
"winds up its mission on New Year's Eve","premise"
".","other"
"A slimmed-down force of 12,000 foreign troops - mostly American - will stay behind","premise"
",","other"
"and","other"
"US President Barack Obama has authorised the US contingent","other"
"to continue","other"
"supporting Afghan National Security Forces (ANSF) throughout 2015","other"
",","other"
"with all of these forces scheduled","other"
"to leave by the end of 2016","premise"
".","other"
"The US is not, therefore","other"
",","other"
"leaving Afghanistan in the abrupt manner","other"
"than","other"
"it left Iraq in 2011","claim"
".","other"
"But this is a time of dramatic change","claim"
".","other"
"Drastic effects on casualties","other"
".","other"
"For one thing	Modd-NU","other"
",	Modd-NU","other"
"the ANSF are doing much of the fighting themselves, with drastic effects on casualties","claim"
":","other"
"over 9,000 Afghan troops have died since 2013, four times greater than the entire American death toll since 2001","premise"
".","other"
"Afghan police officers are suffering especially badly, with thousands being killed every month","premise"
".","other"
"At the political level, a new government of national unity, led by President Ashraf Ghani and Chief Executive Abdullah Abdullah, has taken charge after Hamid Karzai's departure","premise"
".","other"
"Ghani is already reported","other"
"to have opened backchannel talks with the Taliban","other"
",","other"
"visiting both Pakistan and Beijing","other"
"to seek their help in this effort","other"
",","other"
"cancelling an earlier arms request from India, and even making a highly unorthodox visit to Pakistan's army headquarters","other"
",","other"
"in recognition of Pakistan's long-standing support for the insurgents","premise"
".","other"
"On the ground, the overall picture is mixed","claim"
".","other"
"This year, Taliban-initiated attacks are reported","other"
"to have fallen by 25 percent","premise"
",","other"
"and","other"
"ANSF mounted offensives four to five times more frequently than last year","premise"
".","other"
"At the same time","other"
",","other"
"as	Modd-NU","other"
"political scientist Jason Lyall observed","other"
",","other"
"the recently-concluded fighting season - from April to October - ''witnessed the appearance of large Taliban units on the battlefield'' for the first time, with a tenth of all Afghan districts seeing ''at least one major Taliban offensive''","premise"
".","other"
"Lyall also notes reports of over 1,000 insurgents on the battlefield","other"
",","other"
"''numbers not seen since the Taliban's original push to capture Kabul during the 1992-96 civil war''","premise"
".","other"
"While	Modd-NU","other"
"we should take these reports with a pinch of salt","claim"
"-","other"
"NATO commanders accuse their Afghan counterparts of exaggerating","premise"
"-","other"
"they do point to a simple, stark fact","claim"
":","other"
"The insurgency is far from broken","claim"
",","other"
"and","other"
"it will be able","other"
"to pressure the Afghan state for years","other"
"to come","claim"
".","other"
"In this context, the wave of insurgent attacks might be explained in several ways","claim"
".","other"
"First	Modd-NU","other"
",","other"
"these attacks might be intended","other"
"to drive a wedge between the Afghan government and its foreign patrons","other"
",","other"
"encouraging the latter","other"
"to abandon their allies more quickly","claim"
".","other"
"As	Modd-NU","other"
"a Taliban spokesman put it bluntly","other"
":","other"
"''Our objective is","other"
"to force","other"
"the foreigners to flee Kabul","other"
".","other"
"Before","other"
",","other"
"the foreigners were visible in the provinces","other"
".","other"
"Now that they have limited more of their activities to Kabul","other"
",","other"
"we have also gone to Kabul","other"
"to target them there.''","premise"
"To some extent, this has worked","claim"
".","other"
"Many aid agencies have pulled out their staff, and restricted their movements","premise"
".","other"
"Tarnished credibility","other"
".","other"
"Second	Modd-NU","other"
",	Modd-NU","other"
"the insurgents failed","other"
"to seriously disrupt either round of this year's Afghan elections","other"
",","other"
"as","other"
"they had vowed	Modd-NU","other"
"to do	Modd-NU","other"
",	Modd-NU","other"
"leaving their credibility somewhat tarnished","claim"
".","other"
"Prominent attacks - publicised with videos - redress this issue, and project strength at the end of a fighting season","claim"
".","other"
"They might also be ways of","other"
"strengthening","other"
"the insurgency's bargaining position in advance of any peace talks that gain momentum over the next year","claim"
".","other"
"Third","other"
",","other"
"the insurgency is not a monolith","claim"
",","other"
"and","other"
"different parts of the Taliban might be responsible for different attacks","claim"
".","other"
"The Haqqani Network, a semi- autonomous group with close ties to Pakistani intelligence, has proven","other"
"most effective","other"
"at","other"
"projecting suicide bombings into Kabul","claim"
".","other"
"The Haqqanis were blamed for the most deadly atrocity of the past month, the bombing of a volleyball game","other"
"in which over 50 Afghans were killed","premise"
".","other"
"In the past, moves towards dialogue between the Afghan government and the Taliban have been met with carefully targeted attacks intended less","other"
"to strengthen bargaining positions","other"
"than","other"
"to disrupt such talks altogether","claim"
".","other"
"Whatever","other"
"the explanation","other"
",","other"
"Afghanistan faces an extremely test period","claim"
".","other"
"Although	Modd-NU","other"
"the presence of US forces provides a safety net throughout next year","claim"
",","other"
"things look more precarious after that","claim"
".","other"
"International funding commitments for Afghanistan currently run to 2017","claim"
",","other"
"but	Modd-NU","other"
"that timeline had assumed","other"
"the insurgency would lose steam by then","other"
",","other"
"allowing","other"
"ANSF to slim down","claim"
".","other"
"If	cond","other"
"that isn't possible	cond","claim"
",	cond","other"
"the annual $4-6bn bill for the security forces is simply unsustainable","claim"
".","other"
"This week's London Conference is an opportunity","other"
"to secure much greater contributions from regional powers","claim"
",","other"
"who have the most at stake","other"
"if","other"
"Afghanistan does fall apart once more","claim"
".","other"
"China is, for instance, one of the world's largest economies, a direct neighbour of Afghanistan, and a significant investor there","premise"
".","other"
"But","other"
"if	cond","other"
"Beijing is unwilling","other"
"to offer more than a meagre $327m - nearly half the amount Iran pledged in 2012, and far less than Japan or the EU	cond","claim"
"-","claim"
"then	cond","other"
"how are western governments, with their attention directed to threats from Russia and ISIL","other"
",","other"
"supposed","other"
"to persuade their own public","other"
"that, after a decade of war, Afghanistan must stay on financial life-support?","claim"
"Afghanistan conference won't rock the boat.","other"
"''The","other"
"London Conference on Afghanistan will provide an opportunity for the government of Afghanistan","other"
"to set out its commitment","other"
"to reform,''","other"
"states the UK government's official webpage of the upcoming meeting between the new Afghan government and its international donors","premise"
".","other"
"The conference is","other"
"also an opportunity for the international community ''to reaffirm its long-term commitment to","other"
"supporting Afghanistan's peaceful development''","premise"
".","other"
"Despite the media hype, the London Conference is nothing more than a routine reunion, set by the 2012 Tokyo Mutual Accountability Framework (TMAF)","claim"
".","other"
"As part of the agreement, donors pledged","other"
"support and the Afghan government promised","other"
"to implement reforms and curb corruption","premise"
".","other"
"The upcoming meeting in the British capital, therefore, is the first in a series of exchanges","other"
"that will be held every two years, at the ministerial level, between the Afghan and donor governments","other"
"to assess progress and check TMAF's benchmarks","premise"
".","other"
"Still	Modd-NU","other"
",	Modd-NU","other"
"the December 4 conference has the potential","other"
"to ease Afghanistan into a stable and increasingly self-sufficient future and render it a reliable global partner for","other"
"ensuring peace and stability in the region and beyond","claim"
".","other"
"To utilise this opportunity as more than a","other"
"routine progress assessment requires a fundamental shift of attitude on both sides","claim"
".","other"
"Lack of concrete success in the military, economic development and governance efforts in post","other"
"-","other"
"Taliban Afghanistan needs","other"
"to be sincerely examined","claim"
"and","other"
"adjustments need","other"
"to be made","claim"
".","other"
"There is multitude of examples in the international community's flawed, if not disingenuous, aid programmes and their monitoring in Afghanistan","claim"
".","other"
"I was hired by a US consultancy firm","other"
"to map out the field and offer recommendations for the design of a multimillion dollar governance project","premise"
".","other"
"My report and recommendations","other"
",","other"
"it turned out","other"
",","other"
"were too radical","premise"
".","other"
"''We","other"
"expected recommendations for cosmetic changes to the ongoing programmes,''","other"
"I was told","premise"
".","other"
"''The donor agency does not want","other"
"to rock the boat.''","premise"
"On another occasion, I was interviewed by a European consultant for his assessment of the first phase of a programme","premise"
"that had consistently been showcased as a ''success story'' by donors and the Afghan government","premise"
".","other"
"In his three-day field trip to Kabul, he had held meetings with three embassies, the UN, the Afghan head of the implementing agency and me","premise"
".","other"
"Eagerly, I began","other"
"to point to the flaws of the programme","other"
"and offered suggestions for improvement","premise"
".","other"
"I also offered assistance for site visits","premise"
".","other"
"''Do","other"
"n't waste your time and mine,''","other"
"the septuagenarian consultant told me","premise"
".","other"
"''The donor agency expects a rosy report highlighting only the positive.''","premise"
"He further clarified","premise"
"that the decision","premise"
"to fund the second phase","premise"
"had already been made","premise"
"and","premise"
"it had more","premise"
"to do with international aid politics, than development logic","premise"
".","other"
"Numbers provide","other"
"an easy way to illustrate success","claim"
",","other"
"especially when","other"
"seeking international aid budget approval from legislative bodies","claim"
".","other"
"While	Modd-NU","other"
"figures indicating Afghanistan's progress towards development are impressive and could not have been achieved without generous international assistance","claim"
",","other"
"they conceal a lack of attention to quality","claim"
".","other"
"About 8 million Afghan children - including over 2.5 million girls - are now in school","premise"
".","other"
"This is a figure cited regularly as an indication","other"
"that the programmes are yielding tangible results","premise"
".","other"
"The fact","other"
"that most of them graduate only half-literate","other"
"is never revealed","claim"
".","other"
"Here's another feel-good figure","claim"
":","other"
"More than 60 percent of the Afghan population now has access to healthcare facilities","premise"
".","other"
"The fact","other"
"that some of those facilities have only received a checkmark","other"
"because","other"
"merely a building was constructed","other"
"and","other"
"many are staffed only with a nurse, have no diagnostic technology and have terribly anaemic pharmaceutical offerings","other"
"is often ignored","claim"
".","other"
"Much has been written about the fact","other"
"that a hefty portion of the aid money goes back to donor countries because of the donors' insistence to award contracts to their own citizens","claim"
".","other"
"The contracts move hand to hand","premise"
"and","other"
"finally local non-governmental agencies are hired","other"
"to implement projects","premise"
".","other"
"At this point","other"
",","other"
"while","other"
"at best one-quarter of the original funds remains","other"
"to be spent on the actual project","other"
",","other"
"quality is grossly compromised","claim"
"and","other"
"monitoring becomes","other"
"either too complex or irrelevant","claim"
".","other"
"The international community has also created an indigenous vehicle for channelling portions of its assistance","claim"
".","other"
"Under the guise of ''civil society'', hundreds of Afghan NGOs have been established since 2002","claim"
".","other"
"This artificial civil society's lifeline is the donor community in Kabul","claim"
".","other"
"Projects and funds are handed to them for implementation and as the closing of fiscal year in donor capitals approaches, generosity in disbursing funds, irrespective of the projects' logic, utility and cost increases","claim"
".","other"
"Where","other"
"the funds go","other"
".","other"
"Granted	Modd-NU","other"
"that when","other"
"international aid began","other"
"to pour in","other"
",","other"
"the Afghan state had very small","other"
",","other"
"if","other"
"any","other"
",","other"
"capacity","other"
"to absorb and spend it","claim"
".","other"
"However	Modd-NU","other"
",	Modd-NU","other"
"after 13 years and millions of dollars spent on public sector capacity building, the bulk of the funds continue","other"
"to be spent directly by donors","claim"
"and","other"
"only a little over 20 percent is given to the Afghan government","premise"
".","other"
"The parallel system and structures offering higher salaries paid in US dollars have lured much of the skilled Afghan human resources","claim"
".","other"
"The Afghan administration, thus, has","other"
"to be grateful to donors for funding training workshops","other"
",","other"
"while","other"
"in the end, loses its best trained personnel to international organisations, consulting firms and embassies","claim"
".","other"
"It is often said","other"
"that rampant Afghan corruption and lack of capacity would result in misuse and waste of donors' funds","premise"
".","other"
"A mere review of reports published by the US oversight agency, Special Inspector General for Afghanistan Reconstruction (SIGAR), reveals the depth and extent of waste, fraud and abuse of the direct US aid to Afghanistan just in reconstruction projects","premise"
".","other"
"Similar monitoring of most donors' direct aid will, no doubt, highlight comparable corruption and waste","claim"
".","other"
"The government of former President Hamid Karzai admittedly failed","other"
"to launch a genuine fight against corruption","claim"
".","other"
"Lack of capacity for a governance vision","other"
"that would make optimum use of international aid","other"
"was also a defect of the previous leadership","claim"
".","other"
"High-level appointments were based not on competence and commitment of individuals, but rather on political affiliations and compromises on the one hand, and submissiveness of a handful of ''yes sir'' entities on the other","claim"
".","other"
"Thus	Modd-NU","other"
",	Modd-NU","other"
"both sides - donors and the Afghan government - went on for a decade","other"
"playing a futile blame game","claim"
",","other"
"each accusing the other of corruption and insincerity","claim"
".","other"
"Now","other"
",","other"
"on the eve of the London Conference, a new page has turned in Afghanistan's leadership and governance","claim"
".","other"
"The level of optimism among ordinary Afghans is only comparable to the euphoria of the first weeks following the fall of the Taliban regime","claim"
".","other"
"This renewed domestic hope and confidence in the new leadership must not be let","other"
"to deflate","claim"
".","other"
"Although	Modd-NU","other"
"the new administration has not yet launched its overhauling programme","premise"
",","other"
"President Ashraf Ghani's vision and capacity is well known","claim"
".","other"
"Donors at the London Conference must seize the chance and afford him confidence","claim"
".","other"
"They must also adapt a fundamentally new approach to","other"
"dispensing their generous assistance to Afghanistan","claim"
".","other"
"A significant funnelling of international aid through the Afghan government (with oversight and accountability benchmarks), a shift of emphasis from quantity to quality, with particular focus on","other"
"raising the quality of education and finally","other"
",","other"
"a sincere commitment from both sides to the establishment of rule of law will ensure the stability and eventual self-reliance of Afghanistan","claim"
".","other"
"Is Afghanistan ready for the drawdown?","other"
"After 13 years of the International Security Assistance Force (ISAF), the United States and a number of its NATO partners will start the Resolute Support Mission in Afghanistan","premise"
".","other"
"The number of NATO and US forces is reduced from 140,000 to 13,500","other"
"-","other"
"most of them American","other"
"- starting January 1","premise"
".","other"
"How	modd-NU","other"
"will the new national unity government in Kabul weather the NATO drawdown, despite a resilient insurgency and intensified fighting?	m-question","premise"
"There has been much speculation about the security transition in 2014 in Afghanistan","claim"
".","other"
"In 2012, I wrote an Oped for the New York Times","other"
",","other"
"warning","other"
